unit_group_code,unit_group_title,occupation_code,occupation_title
3112,Medical and Dental Technicians,311232,Dental Technician
3112,Medical and Dental Technicians,311233,Medical Laboratory Technician
3112,Medical and Dental Technicians,311234,Operating Theatre Technician
3112,Medical and Dental Technicians,311235,Respiratory Technician
3112,Medical and Dental Technicians,311299,Medical and Dental Technicians nec
3113,Pharmacy Technicians,311331,Community Pharmacy Technician
3113,Pharmacy Technicians,311332,Hospital Pharmacy Technician
3114,Phlebotomists,311431,Phlebotomist
3115,Science Technicians,311531,Chemical Technician
3115,Science Technicians,311532,Earth Science Technician
3115,Science Technicians,311533,Geospatial Technician
3115,Science Technicians,311534,Hydrographer
3115,Science Technicians,311535,Life Science Technician
3115,Science Technicians,311536,School Laboratory Technician
3115,Science Technicians,311599,Science Technicians nec
3121,Building and Landscape Designers and Technicians,312131,Architectural Technician
3121,Building and Landscape Designers and Technicians,312132,Building Designer
3121,Building and Landscape Designers and Technicians,312133,Detailer Drafter
3121,Building and Landscape Designers and Technicians,312134,Landscape Designer
3121,Building and Landscape Designers and Technicians,312135,Surveying Technician
3121,Building and Landscape Designers and Technicians,312199,Building and Landscape Designers and Technicians nec
3122,Construction and Safety Inspectors,312231,Building Inspector
3122,Construction and Safety Inspectors,312232,Energy Assessor
3122,Construction and Safety Inspectors,312233,Plumbing Inspector
3122,Construction and Safety Inspectors,312234,Safety Inspector
3123,Construction Estimators,312331,Construction Estimator
3124,Construction Supervisors,312431,Civil Construction Leading Hand
3124,Construction Supervisors,312432,Construction Site Supervisor
3131,Civil Engineering Draftspersons and Technicians,313131,Civil Engineering Draftsperson
3131,Civil Engineering Draftspersons and Technicians,313132,Civil Engineering Technician
3132,Electrical Engineering Draftspersons and Technicians,313231,Electrical Engineering Draftsperson
3132,Electrical Engineering Draftspersons and Technicians,313232,Electrical Engineering Technician
3133,Maintenance Planners,313331,Maintenance Planner
3134,"Marine Transport Masters, Officers and Technicians",313431,Marine Engineer
3134,"Marine Transport Masters, Officers and Technicians",313432,Marine Pilot
3134,"Marine Transport Masters, Officers and Technicians",313433,Marine Surveyor
3134,"Marine Transport Masters, Officers and Technicians",313434,Master Fisher
3134,"Marine Transport Masters, Officers and Technicians",313435,Ship's Master
3134,"Marine Transport Masters, Officers and Technicians",313436,Ship's Officer
3134,"Marine Transport Masters, Officers and Technicians",313499,"Marine Transport Masters, Officers and Technicians nec"
3135,Mining Supervisors,313531,Mining Supervisor
3139,Other Engineering Technicians,313931,Biomedical Technician
3139,Other Engineering Technicians,313932,Electronic Engineering Technician
3139,Other Engineering Technicians,313933,Mechanical Engineering Draftsperson
3139,Other Engineering Technicians,313934,Mechanical Engineering Technician
3139,Other Engineering Technicians,313935,Metallurgical or Materials Technician
3139,Other Engineering Technicians,313936,Non-destructive Testing Technician
3139,Other Engineering Technicians,313937,Other Draftsperson
3139,Other Engineering Technicians,313999,Engineering Technicians nec
3141,ICT and Telecommunications Technicians,314131,ICT Hardware Technician
3141,ICT and Telecommunications Technicians,314132,Radiocommunications Technician
3141,ICT and Telecommunications Technicians,314133,Telecommunications Field Engineer
3141,ICT and Telecommunications Technicians,314134,Telecommunications Network Designer
3141,ICT and Telecommunications Technicians,314135,Telecommunications Technical Officer or Technologist
3141,ICT and Telecommunications Technicians,314136,Web Administrator
3141,ICT and Telecommunications Technicians,314199,ICT and Telecommunications Technicians nec
3142,ICT Customer Support Officers,314231,ICT Customer Support Officer
3211,Chefs,321131,Chef
3221,Bakers,322131,Baker
3222,Butchers and Smallgoods Makers,322231,Butcher or Smallgoods Maker
3223,Cooks,322331,Cook
3224,Pastrycooks,322431,Pastrycook
3311,Structural Steel and Welding Trades Workers,331131,Metal Fabricator
3311,Structural Steel and Welding Trades Workers,331132,Pressure Welder
3311,Structural Steel and Welding Trades Workers,331133,Welder (First Class)
3319,Other Fabrication Engineering Trades Workers,331931,Blacksmith
3319,Other Fabrication Engineering Trades Workers,331932,Electroplater
3319,Other Fabrication Engineering Trades Workers,331933,Farrier
3319,Other Fabrication Engineering Trades Workers,331934,Metal Casting Trades Worker
3319,Other Fabrication Engineering Trades Workers,331935,Metal Polisher
3319,Other Fabrication Engineering Trades Workers,331936,Sheetmetal Worker
3321,Aircraft Maintenance Technicians,332131,Aircraft Maintenance Technician (Avionics)
3321,Aircraft Maintenance Technicians,332132,Aircraft Maintenance Technician (Mechanical)
3321,Aircraft Maintenance Technicians,332133,Aircraft Maintenance Technician (Structures)
3321,Aircraft Maintenance Technicians,332134,Licensed Aircraft Maintenance Engineer
3322,Metal Fitters and Machinists,332231,Fitter (General)
3322,Metal Fitters and Machinists,332232,Fitter and Turner
3322,Metal Fitters and Machinists,332233,Fitter-Welder
3322,Metal Fitters and Machinists,332234,Metal Machinist (First Class)
3322,Metal Fitters and Machinists,332299,Metal Fitters and Machinists nec
3323,Precision Engineering Trades Workers,332331,Engineering Patternmaker
3323,Precision Engineering Trades Workers,332332,Engraver
3323,Precision Engineering Trades Workers,332333,Gunsmith
3323,Precision Engineering Trades Workers,332334,Locksmith
3323,Precision Engineering Trades Workers,332335,Precision Instrument Maker and Repairer
3323,Precision Engineering Trades Workers,332336,Saw Technician
3323,Precision Engineering Trades Workers,332337,Toolmaker
3323,Precision Engineering Trades Workers,332338,Watch and Clock Maker and Repairer
3411,Animal Trainers and Zookeepers,341131,Dog Handler or Trainer
3411,Animal Trainers and Zookeepers,341132,Horse Trainer
3411,Animal Trainers and Zookeepers,341133,Track Rider
3411,Animal Trainers and Zookeepers,341134,Zookeeper
3411,Animal Trainers and Zookeepers,341199,Animal Trainers and Zookeepers nec
3412,Veterinary Nurses,341231,Veterinary Nurse
3421,Gardeners (General),342131,Gardener (General)
3422,Arboriculture Workers,342231,Arborist
3422,Arboriculture Workers,342232,Tree Worker
3423,Florists,342331,Florist
3424,Irrigation Technicians and Landscape Gardeners,342431,Irrigation Technician
3424,Irrigation Technicians and Landscape Gardeners,342432,Landscape Gardener
3425,Sports Turf Managers and Trades Workers,342531,Sports Turf Manager
3425,Sports Turf Managers and Trades Workers,342532,Sports Turf Trades Worker
3429,Other Horticultural Trades Workers,342931,Nurseryperson
3431,"Senior Aquaculture, Crop and Forestry Workers",343131,Aquaculture Supervisor
3431,"Senior Aquaculture, Crop and Forestry Workers",343132,Fishing Leading Hand
3431,"Senior Aquaculture, Crop and Forestry Workers",343133,Forestry Operations Supervisor
3431,"Senior Aquaculture, Crop and Forestry Workers",343134,Horticultural Supervisor or Specialist
3431,"Senior Aquaculture, Crop and Forestry Workers",343135,Senior Broadacre Crop and Livestock Farm Worker
3431,"Senior Aquaculture, Crop and Forestry Workers",343136,Senior Broadacre Crop Farm Worker
3431,"Senior Aquaculture, Crop and Forestry Workers",343137,Vineyard Supervisor
3431,"Senior Aquaculture, Crop and Forestry Workers",343199,"Senior Aquaculture, Crop and Forestry Workers nec"
3432,Senior Livestock Farm Workers,343231,Senior Beef Cattle Station Worker
3432,Senior Livestock Farm Workers,343232,Senior Cattle and Sheep Farm Worker
3432,Senior Livestock Farm Workers,343233,Senior Dairy Cattle Farm Worker
3432,Senior Livestock Farm Workers,343234,Senior Horse Stable or Stud Worker
3432,Senior Livestock Farm Workers,343235,Senior Piggery Stockperson
3432,Senior Livestock Farm Workers,343236,Senior Sheep Farm Worker
3432,Senior Livestock Farm Workers,343299,Senior Livestock Farm Workers nec
3433,Shearers and Wool Classers,343331,Shearer
3433,Shearers and Wool Classers,343332,Wool Classer
3511,Automotive Technicians (General),351131,Automotive Technician (General)
3512,Automotive Electricians,351231,Automotive Electrician
3513,Panelbeaters,351331,Panelbeater
3514,Specialist Automotive Technicians,351431,Agricultural Mechanic
3514,Specialist Automotive Technicians,351432,Bicycle Technician
3514,Specialist Automotive Technicians,351433,Diesel Technician
3514,Specialist Automotive Technicians,351434,Electric Vehicle Technician
3514,Specialist Automotive Technicians,351435,Marine Technician
3514,Specialist Automotive Technicians,351436,Motorcycle Technician
3514,Specialist Automotive Technicians,351437,Small Engine Technician
3515,Vehicle Body Builders and Trimmers,351531,Vehicle Body Builder
3515,Vehicle Body Builders and Trimmers,351532,Vehicle Trimmer
3516,Vehicle Painters,351631,Vehicle Painter
3611,Floor Finishers,361131,Floor Finisher
3612,Painters,361231,Painter
3621,Glaziers,362131,Glazier
3622,Plasterers and Renderers,362231,Plasterer (Wall and Ceiling)
3622,Plasterers and Renderers,362232,Renderer (Solid Plaster)
3623,Roof Tilers,362331,Roof Tiler
3624,Wall and Floor Tilers,362431,Wall and Floor Tiler
3631,Plumbers (General),363131,Plumber (General)
3632,Gasfitters,363231,Gasfitter
3633,Roof Plumbers,363331,Roof Plumber
3639,Other Plumbers,363931,Drainer
3639,Other Plumbers,363932,Fire Protection Plumber
3639,Other Plumbers,363933,Mechanical Services Plumber
3691,Cabinet Makers,369131,Cabinet Maker
3699,Other Building Completion and Related Trades Workers,369931,Shopfitter
3699,Other Building Completion and Related Trades Workers,369932,Swimming Pool and Spa Builder
3699,Other Building Completion and Related Trades Workers,369933,Waterproofer
3711,Bricklayers and Stonemasons,371131,Bricklayer
3711,Bricklayers and Stonemasons,371132,Stonemason
3712,Concreters,371231,Concreter
3721,Carpenters and Joiners,372131,Carpenter and Joiner
3721,Carpenters and Joiners,372132,Carpenter
3721,Carpenters and Joiners,372133,Joiner
3811,Electrical Distribution Trades Workers,381131,Electrical Distribution Trades Worker
3812,Electricians,381231,Electrician (General)
3812,Electricians,381232,Electrical Fitter
3812,Electricians,381233,Industrial Electrician
3812,Electricians,381234,Lift Mechanic
3821,Air Conditioning and Refrigeration Technicians,382131,Air Conditioning and Refrigeration Technician
3822,Electronics Trades Workers,382231,Communications Operator
3822,Electronics Trades Workers,382232,Electronic Equipment Trades Worker
3822,Electronics Trades Workers,382233,Electronic Instrument Technician
3822,Electronics Trades Workers,382234,Office Equipment Technician
3823,Telecommunications Trades Workers,382331,Cabler (Data and Telecommunications)
3823,Telecommunications Trades Workers,382332,Telecommunications Cable Technician
3823,Telecommunications Trades Workers,382333,Telecommunications Linesworker
3823,Telecommunications Trades Workers,382334,Telecommunications Technician
3911,"Gallery, Library and Museum Technicians",391131,Gallery or Museum Technician
3911,"Gallery, Library and Museum Technicians",391132,Library Technician
3912,Performing Arts Technicians,391231,Audio Engineer
3912,Performing Arts Technicians,391232,Broadcast Technician
3912,Performing Arts Technicians,391233,"Camera Operator (Film, Television or Video)"
3912,Performing Arts Technicians,391234,Lighting Technician
3912,Performing Arts Technicians,391299,Performing Arts Technicians nec
3913,Photographers,391331,Photographer
3914,Printing Trades Workers,391431,Graphic Pre-press Operator
3914,Printing Trades Workers,391432,Print Finisher
3914,Printing Trades Workers,391433,Printing Machinist
3914,Printing Trades Workers,391434,Screen Printer
3915,Signwriters,391531,Signwriter
3919,Other Artistic and Cultural Technicians and Trades Workers,391931,Interior Decorator
3919,Other Artistic and Cultural Technicians and Trades Workers,391932,Jeweller
3919,Other Artistic and Cultural Technicians and Trades Workers,391933,Musical Instrument Maker or Repairer
3921,Barbers and Hairdressers,392131,Barber
3921,Barbers and Hairdressers,392132,Hairdresser
3991,"Chemical, Gas, Petroleum and Power Generation Plant Technicians",399131,Chemical Plant Operator
3991,"Chemical, Gas, Petroleum and Power Generation Plant Technicians",399132,Gas or Petroleum Production Technician
3991,"Chemical, Gas, Petroleum and Power Generation Plant Technicians",399133,Power Generation Plant Operator
3992,Drillers,399231,Driller
3993,Pest Control Technicians,399331,Pest Control Technician
3994,"Textile, Clothing and Footwear Trades Workers",399431,Apparel Cutter
3994,"Textile, Clothing and Footwear Trades Workers",399432,Canvas Goods Fabricator
3994,"Textile, Clothing and Footwear Trades Workers",399433,Dressmaker or Tailor
3994,"Textile, Clothing and Footwear Trades Workers",399434,Garment Technician
3994,"Textile, Clothing and Footwear Trades Workers",399435,Leather Goods Maker
3994,"Textile, Clothing and Footwear Trades Workers",399436,Sail Maker
3994,"Textile, Clothing and Footwear Trades Workers",399437,Shoemaker
3994,"Textile, Clothing and Footwear Trades Workers",399438,Upholsterer
3995,Wood Machinists and Other Wood Trades Workers,399531,Furniture Finisher
3995,Wood Machinists and Other Wood Trades Workers,399532,Furniture Maker
3995,Wood Machinists and Other Wood Trades Workers,399533,Picture Framer
3995,Wood Machinists and Other Wood Trades Workers,399534,Wood Machinist
3995,Wood Machinists and Other Wood Trades Workers,399599,Wood Machinists and Other Wood Trades Workers nec
3999,Other Miscellaneous Technicians and Trades Workers,399931,Boat Builder and Repairer
3999,Other Miscellaneous Technicians and Trades Workers,399932,Diver
3999,Other Miscellaneous Technicians and Trades Workers,399933,Fire Protection Equipment Technician
3999,Other Miscellaneous Technicians and Trades Workers,399934,Gas Network Technician
3999,Other Miscellaneous Technicians and Trades Workers,399935,Optical Mechanic
3999,Other Miscellaneous Technicians and Trades Workers,399936,Plastics Technician
3999,Other Miscellaneous Technicians and Trades Workers,399937,Railway Network Controller
3999,Other Miscellaneous Technicians and Trades Workers,399938,Shipwright
3999,Other Miscellaneous Technicians and Trades Workers,399999,Technicians and Trades Workers nec
4111,Child Protection and Family Violence Practitioners,411131,Child Protection Practitioner
4111,Child Protection and Family Violence Practitioners,411132,Family Violence Practitioner
4112,Community Development and Support Workers,411231,Community Development Officer
4112,Community Development and Support Workers,411232,Community Support Worker
4113,"Diversional Therapists, and Lifestyle Coordinators and Officers",411331,Diversional Therapist
4113,"Diversional Therapists, and Lifestyle Coordinators and Officers",411332,Lifestyle Coordinator
4113,"Diversional Therapists, and Lifestyle Coordinators and Officers",411333,Lifestyle Officer
4114,Employment Consultants,411431,Employment Consultant
4115,Interpreters and Translators,411531,Interpreter
4115,Interpreters and Translators,411532,Translator
4116,Welfare Support Workers,411631,Community Corrections Officer
4116,Welfare Support Workers,411632,Family Support Worker
4116,Welfare Support Workers,411633,Financial Counsellor (Community)
4116,Welfare Support Workers,411634,Housing Officer
4116,Welfare Support Workers,411635,Refuge Worker
4116,Welfare Support Workers,411636,Welfare Worker
4117,Youth Support Workers,411731,Residential Youth Worker
4117,Youth Support Workers,411732,Youth Justice Worker
4117,Youth Support Workers,411733,Youth Worker
4119,Other Community and Welfare Support Workers,411931,Recreation Officer
4119,Other Community and Welfare Support Workers,411932,Sports Development Officer
4119,Other Community and Welfare Support Workers,411933,Volunteer Coordinator
4211,Aged Care Coordinators and Team Leaders,421131,Aged Care Coordinator
4211,Aged Care Coordinators and Team Leaders,421132,Aged Care Team Leader
4212,Community Aged Care Support Workers,421231,Community Aged Care Support Worker
4213,Residential Aged Care Workers,421331,Residential Aged Care Worker
4221,Disability Services and Residential Care Officers,422131,Disability Services Officer
4221,Disability Services and Residential Care Officers,422132,Residential Care Officer
4222,Disability Support Workers and Team Leaders,422231,Disability Support Worker
4222,Disability Support Workers and Team Leaders,422232,Disability Team Leader
4311,Early Childhood Educators and Room Leaders,431131,Early Childhood Education Room Leader
4311,Early Childhood Educators and Room Leaders,431132,Early Childhood Educator
4312,Family Day Care Educators and Coordinators,431231,Family Day Care Coordinator
4312,Family Day Care Educators and Coordinators,431232,Family Day Care Educator
4313,Nannies,431331,Nanny
4314,Out of School Hours Care Educators,431431,Out of School Hours Care Educator
4321,Inclusion Support Assistants,432131,Inclusion Support Assistant
4322,Teaching Assistants,432231,Teaching Assistant
4329,Other Education Assistants,432931,Aboriginal and Torres Strait Islander Education Officer
4329,Other Education Assistants,432932,Boarding Supervisor
4411,Enrolled Nurses,441131,Enrolled Nurse
4412,Massage Therapists and Myotherapists,441231,Massage Therapist
4412,Massage Therapists and Myotherapists,441232,Myotherapist
4412,Massage Therapists and Myotherapists,441233,Remedial Massage Therapist
4413,Mental Health Workers,441331,Mental Health Worker
4419,Other Health Support Workers,441931,Aboriginal and Torres Strait Islander Health Practitioner
4419,Other Health Support Workers,441932,Aboriginal and Torres Strait Islander Health Worker
4419,Other Health Support Workers,441933,Audiometrist
4421,Allied Health Assistants,442131,Allied Health Assistant
4422,Assistants in Nursing,442231,Assistant in Nursing
4423,Dental Assistants,442331,Dental Assistant
4424,Optical Dispensers,442431,Optical Dispenser
4425,Patient Care and Patient Services Assistants,442531,Patient Care Assistant
4425,Patient Care and Patient Services Assistants,442532,Patient Services Assistant
4429,Other Patient and Health Care Assistants,442931,Patient Transport Officer
4429,Other Patient and Health Care Assistants,442999,Patient and Health Care Assistants nec
4511,Defence Force Members - Other Ranks,451131,Defence Force Member - Other Ranks
4512,Emergency Services Officers and Firefighters,451231,Emergency Services Officer
4512,Emergency Services Officers and Firefighters,451232,Firefighter
4513,General Duties Police Officers,451331,General Duties Police Officer
4519,Other Protective Service Workers,451931,Border Enforcement Operations Officer
4521,Correctional Officers,452131,Correctional Officer
4522,Security Officers and Guards,452231,"Alarm, Security or Surveillance Monitor"
4522,Security Officers and Guards,452232,Cash In Transit Officer
4522,Security Officers and Guards,452233,Crowd Controller
4522,Security Officers and Guards,452234,Private Investigator
4522,Security Officers and Guards,452235,Protective Services Officer
4522,Security Officers and Guards,452236,Retail Loss Prevention Officer
4522,Security Officers and Guards,452237,Security Consultant
4522,Security Officers and Guards,452238,Security Officer
4522,Security Officers and Guards,452241,Security Screening Officer
4611,Beauty and Dermal Therapists,461131,Beauty Therapist
4611,Beauty and Dermal Therapists,461132,Dermal Therapist
4612,Body and Make-up Artists,461231,Body Artist
4612,Body and Make-up Artists,461232,Make-up Artist
4613,Civil Celebrants and Funeral Workers,461331,Civil Celebrant
4613,Civil Celebrants and Funeral Workers,461332,Funeral Director
4613,Civil Celebrants and Funeral Workers,461333,Funeral Worker
4614,Domestic Animal Care Workers,461431,Dog Walker
4614,Domestic Animal Care Workers,461432,Domestic Animal Attendant
4614,Domestic Animal Care Workers,461433,Pet Groomer
4614,Domestic Animal Care Workers,461499,Domestic Animal Care Workers nec
4615,Driving Instructors,461531,Driving Instructor
4616,Tourist Guides and Information Officers,461631,Gallery or Museum Guide
4616,Tourist Guides and Information Officers,461632,Tour Guide
4616,Tourist Guides and Information Officers,461633,Tourist Information Officer
4617,Travel Attendants,461731,Flight Attendant
4617,Travel Attendants,461799,Travel Attendants nec
4618,Travel Consultants,461831,Travel Consultant
4619,Other Personal Service and Travel Workers,461931,Airline Customer Support Worker
4619,Other Personal Service and Travel Workers,461932,Fashion Stylist
4619,Other Personal Service and Travel Workers,461933,First Aid Trainer
4619,Other Personal Service and Travel Workers,461934,Hair or Beauty Salon Assistant
4619,Other Personal Service and Travel Workers,461935,Natural Remedy Consultant
4619,Other Personal Service and Travel Workers,461936,Photographer's Assistant
4619,Other Personal Service and Travel Workers,461937,Religious Assistant
4619,Other Personal Service and Travel Workers,461938,Sex Worker or Escort
4619,Other Personal Service and Travel Workers,461941,Weight Loss Consultant
4619,Other Personal Service and Travel Workers,461999,Personal Service and Travel Workers nec
4621,Fitness Instructors (General),462131,Fitness Instructor (General)
4622,Pilates and Yoga Instructors,462231,Pilates Instructor
4622,Pilates and Yoga Instructors,462232,Yoga Teacher
4623,Sport and Recreation Safety Patrollers,462331,Lifeguard
4623,Sport and Recreation Safety Patrollers,462399,Sport and Recreation Safety Patrollers nec
4624,Sports Coaches and Outdoor Adventure Guides,462431,Basketball Coach
4624,Sports Coaches and Outdoor Adventure Guides,462432,Diving Instructor (Open Water)
4624,Sports Coaches and Outdoor Adventure Guides,462433,Football Coach
4624,Sports Coaches and Outdoor Adventure Guides,462434,Gymnastics Coach or Instructor
4624,Sports Coaches and Outdoor Adventure Guides,462435,Horse Riding Coach or Instructor
4624,Sports Coaches and Outdoor Adventure Guides,462436,Martial Arts Instructor
4624,Sports Coaches and Outdoor Adventure Guides,462437,Netball Coach
4624,Sports Coaches and Outdoor Adventure Guides,462438,Outdoor Adventure Leader or Guide
4624,Sports Coaches and Outdoor Adventure Guides,462441,Snowsport Instructor
4624,Sports Coaches and Outdoor Adventure Guides,462442,Swimming Instructor or Coach
4624,Sports Coaches and Outdoor Adventure Guides,462443,Tennis Coach
4624,Sports Coaches and Outdoor Adventure Guides,462499,Sports Coaches and Outdoor Adventure Guides nec
4625,Sports Officials and Umpires,462531,Dog and Horse Racing Official
4625,Sports Officials and Umpires,462532,Sports Umpire
4625,Sports Officials and Umpires,462599,Sports Officials and Umpires nec
4626,Sportspersons,462631,Footballer
4626,Sportspersons,462632,Golfer
4626,Sportspersons,462633,Jockey
4626,Sportspersons,462699,Sportspersons nec
4711,Bar Attendants,471131,Bar Attendant
4712,Baristas,471231,Barista
4713,Cafe Workers,471331,Cafe Worker
4714,"Gaming Attendants, Dealers and Croupiers",471431,Gaming Attendant
4714,"Gaming Attendants, Dealers and Croupiers",471432,Gaming Dealer or Croupier
4715,Hospitality Supervisors,471531,Bar Supervisor
4715,Hospitality Supervisors,471532,Cafe or Restaurant Supervisor
4715,Hospitality Supervisors,471533,Front Office Supervisor (Accommodation)
4715,Hospitality Supervisors,471534,Gaming Supervisor
4715,Hospitality Supervisors,471535,Housekeeping Supervisor
4716,Sommeliers and Waiters,471631,Sommelier
4716,Sommeliers and Waiters,471632,Waiter
4719,Other Hospitality Workers,471931,Bar Useful
4719,Other Hospitality Workers,471932,Doorperson or Porter
4719,Other Hospitality Workers,471999,Hospitality Workers nec
5111,Contract Administrators,511131,Contract Administrator
5112,Program and Project Administrators,511231,Program or Project Administrator
5211,Conveyancers,521131,Conveyancer
5212,Court and Legal Assistants,521231,Clerk of Court
5212,Court and Legal Assistants,521232,Court Bailiff or Sheriff
5212,Court and Legal Assistants,521233,Court Orderly
5212,Court and Legal Assistants,521234,Law Clerk
5212,Court and Legal Assistants,521235,Legal Secretary
5212,Court and Legal Assistants,521236,Trust Officer
5221,Secretaries (General),522131,Secretary (General)
5222,Executive Assistants,522231,Executive Assistant
5311,Bank Officers,531131,Bank Officer
5312,Credit and Loans Officers,531231,Credit or Loans Officer
5313,Financial and Insurance Brokers,531331,Business Broker
5313,Financial and Insurance Brokers,531332,Commodities Trader
5313,Financial and Insurance Brokers,531333,Finance Broker
5313,Financial and Insurance Brokers,531334,Insurance Broker
5313,Financial and Insurance Brokers,531399,Financial and Insurance Brokers nec
5314,Insurance Consultants,531431,Insurance Consultant
5315,"Insurance Investigators, Loss Adjusters and Risk Surveyors",531531,Insurance Investigator
5315,"Insurance Investigators, Loss Adjusters and Risk Surveyors",531532,Insurance Loss Adjuster
5315,"Insurance Investigators, Loss Adjusters and Risk Surveyors",531533,Insurance Risk Surveyor
5319,Other Financial Services and Insurance Workers and Brokers,531931,Investment Administrator
5319,Other Financial Services and Insurance Workers and Brokers,531932,Paraplanner
5411,Accounts Clerks,541131,Accounts Clerk
5412,Estimators,541231,Estimator
5413,Payroll Officers,541331,Payroll Officer
5421,Bookkeepers,542131,Bookkeeper
5491,Other Accounting and Related Clerks,549131,Betting Clerk
5491,Other Accounting and Related Clerks,549132,Bookmaker
5491,Other Accounting and Related Clerks,549133,Debt Collector
5511,Call and Contact Centre Workers,551131,Call or Contact Centre Operator
5511,Call and Contact Centre Workers,551132,Call or Contact Centre Team Leader
5512,Information Officers and Switchboard Operators,551231,Information Officer
5512,Information Officers and Switchboard Operators,551232,Switchboard Operator
5521,Medical Receptionists,552131,Medical Receptionist
5522,Ward Clerks,552231,Ward Clerk
5531,Receptionists (General),553131,Receptionist (General)
5532,Hotel and Motel Receptionists,553231,Hotel or Motel Receptionist
5611,General Clerks,561131,General Clerk
5612,Data Entry Operators and Transcriptionists,561231,Data Entry Operator
5612,Data Entry Operators and Transcriptionists,561232,Machine Shorthand Reporter
5612,Data Entry Operators and Transcriptionists,561233,Word Processing Operator
5711,Logistics Officers,571131,Logistics Officer
5712,Order Clerks,571231,Order Clerk
5713,Procurement and Purchasing Officers,571331,Procurement Officer
5713,Procurement and Purchasing Officers,571332,Purchasing Officer
5714,Stock Clerks,571431,Stock Clerk
5715,Warehouse Administrators,571531,Warehouse Administrator
5719,Other Supply Chain Support Workers,571931,Freight Forwarder
5719,Other Supply Chain Support Workers,571932,Production Coordinator (Logistics)
5911,Inspectors and Regulatory Compliance Officers,591131,Aerodrome Reporting Officer
5911,Inspectors and Regulatory Compliance Officers,591132,Council Ranger
5911,Inspectors and Regulatory Compliance Officers,591133,Electrical Asset Inspector
5911,Inspectors and Regulatory Compliance Officers,591134,"Invasive Pest, Weed and Disease Inspector"
5911,Inspectors and Regulatory Compliance Officers,591135,Meter Reader
5911,Inspectors and Regulatory Compliance Officers,591136,Motor Vehicle Licence Examiner
5911,Inspectors and Regulatory Compliance Officers,591137,Parking Officer
5911,Inspectors and Regulatory Compliance Officers,591138,Transport Revenue Officer
5911,Inspectors and Regulatory Compliance Officers,591141,Water Inspector
5912,Regulatory Administration and Assessment Officers,591231,Social Security Assessor
5912,Regulatory Administration and Assessment Officers,591232,Taxation Compliance Officer
5912,Regulatory Administration and Assessment Officers,591233,Visa and Citizenship Processing Officer
5919,Other Inspectors and Regulatory Officers,591999,Inspectors and Regulatory Officers nec
5991,Filing and Registry Clerks and Library Assistants,599131,Filing or Registry Clerk
5991,Filing and Registry Clerks and Library Assistants,599132,Library Assistant
5992,Human Resources Assistants,599231,Human Resources Administration Assistant
5992,Human Resources Assistants,599232,Rostering Officer
5993,Mail Sorters,599331,Mail Clerk
5993,Mail Sorters,599332,Postal Sorting Officer
5999,Other Miscellaneous Clerical and Administrative Workers,599931,Clinical Coder
5999,Other Miscellaneous Clerical and Administrative Workers,599932,Customs Broker
5999,Other Miscellaneous Clerical and Administrative Workers,599933,Facilities Administrator
5999,Other Miscellaneous Clerical and Administrative Workers,599934,"Production Assistant (Audio, Screen or Live Performance)"
5999,Other Miscellaneous Clerical and Administrative Workers,599935,"Production Coordinator (Audio, Screen or Live Performance)"
5999,Other Miscellaneous Clerical and Administrative Workers,599936,Radio Dispatcher
5999,Other Miscellaneous Clerical and Administrative Workers,599937,Strata Manager
5999,Other Miscellaneous Clerical and Administrative Workers,599938,Survey Interviewer
5999,Other Miscellaneous Clerical and Administrative Workers,599941,Union Organiser
5999,Other Miscellaneous Clerical and Administrative Workers,599999,Clerical and Administrative Workers nec
6111,Checkout Operators,611131,Checkout Operator
6191,Product Promotion Workers,619131,Marketing Assistant
6191,Product Promotion Workers,619132,Model
6191,Product Promotion Workers,619133,Sales Demonstrator
6191,Product Promotion Workers,619134,Telemarketer
6191,Product Promotion Workers,619135,Visual Merchandiser
6199,Other Sales Support Workers,619931,Entertainment Venue Attendant
6199,Other Sales Support Workers,619932,Merchandise Planner
6199,Other Sales Support Workers,619933,Personal Shopper
6199,Other Sales Support Workers,619934,Reservations Agent
6199,Other Sales Support Workers,619935,Retail Buyer
6199,Other Sales Support Workers,619999,Sales Support Workers nec
6211,Insurance Agents,621131,Insurance Agent
6212,Sales Representatives,621231,Sales Representative (Building and Plumbing Supplies)
6212,Sales Representatives,621232,Sales Representative (Business Services)
6212,Sales Representatives,621233,Sales Representative (Motor Vehicle Parts and Accessories)
6212,Sales Representatives,621234,Sales Representative (Personal and Household Goods)
6212,Sales Representatives,621299,Sales Representatives nec
6221,Property Managers,622131,Property Manager
6222,Property Sales Agents and Related Workers,622231,Auctioneer
6222,Property Sales Agents and Related Workers,622232,Real Estate Agent
6222,Property Sales Agents and Related Workers,622233,Real Estate Representative
6222,Property Sales Agents and Related Workers,622234,Stock and Station Agent
6311,Sales Assistants (General),631131,Sales Assistant (General)
6312,Community Pharmacy Sales Assistants,631231,Community Pharmacy Sales Assistant
6313,ICT Sales Assistants,631331,ICT Sales Assistant
6314,Motor Vehicle and Vehicle Parts Salespersons,631431,Motor Vehicle or Caravan Salesperson
6314,Motor Vehicle and Vehicle Parts Salespersons,631432,Motor Vehicle Parts Interpreter
6315,Retail Supervisors,631531,Retail Supervisor
6316,Service Station Attendants,631631,Service Station Attendant
6319,Other Sales Assistants and Salespersons,631931,Door-to-door Salesperson
